Lukáš Hrádecký
Jesurun Rak Sakyi
James Tomkins
Remi Matthews
Tayo Adaramola
Malcolm Ebiowei
John-Kymani Gordon
Rob Holding
Roshaun Mathurin
Ademola Ola-Adebomi
Luke Plange
Jadan Raymond
Kaden Rodney
Franco Umeh-Chibueze
Joseph Whitworth
José Luis García Vayá
Giorgi Mamardashvili
Hugo Duro
Cristhian Mosquera
Diego López
Javier Guerra
Francisco Perez
Thierry Correia
José Luis Gayà
Dimitri Foulquier
Cenk Özkacar
Sergi Canós
Hugo Guillamón
Mouctar Diakhaby
Domingos André Ribeiro Almeida
Roman Yaremchuk
Yarek Hernandis
Selim Amallah
Jesus Vazquez
Peter González
Alberto Marí
Pablo Gozalbez
Jaume Doménech
Hugo González
Cristian
Mario Dominguez
Ruben Lendinez
César Tárrega
Marco Camús
David Otorbi
Martín Tejón
Guillaume Restes
Rasmus Nicolaisen
Logan Costa
Thijs Dallinga
Gabriel Suazo
Vincent Sierro
Cristian Cásseres Jr.
Aron Dønnum
Mikkel Desler
Moussa Diarra
Niklas Schmidt
Frank Magri
Yann Gboho
Waren Kamanzi
Christian Mawissa
Gelabert
Zakaria Aboukhlal
Kévin Keben Biakolo
Denis Genreau
Shavy Babicka
Yanis Begraoui
Ibrahim Cissoko
Naatan Skyttä
Mamady Bangré
Fares Chaïbi
Álex Domínguez
Oliver Zandén
Pascal Groß
Lewis Dunk
Jan Paul van Hecke
Simon Adingra
Billy Gilmour
Bart Verbruggen
Danny Welbeck
João Pedro
Igor
Joël Veltman
Jason Steele
Facundo Buonanotte
Kaoru Mitoma
Evan Ferguson
Pervis Estupiñán
Adam Webster
Adam Lallana
James Milner
Tariq Lamptey
Jack Hinshelwood
Solly March
Jakub Moder
Julio Enciso
Valentín Barco
Odeluga Offiah
Mark O'Mahony
Benicio Boaitey
Steven Alzate
Bigo Atom
Luca Barrington
Samy Chouchane
Josh Duffus
Ben Jackson
Leigh Kavanagh
Cameron Peupion
Imari Samuels
Illia Zabarnyi
Dominic Solanke
Ryan Christie
Neto
Lewis Cook
Marcos Senesi
Justin Kluivert
Adam Smith
Marcus Tavernier
Antoine Semenyo
Milos Kerkez
Lloyd Kelly
Philip Billing
Max Aarons
Dango Ouattara
Alex Scott
Luis Sinisterra
Chris Mepham
Mark Travers
Joe Rothwell
Enes Ünal
David Brooks
Ionuț Radu
Jaidon Anthony
Tyler Adams
James Hill
Kieffer Moore
Romain Faivre
Dominic Sadi
Ben Greenwood
Gavin Kilkenny
Emiliano Marcondes
Callan Mckenna
Darren Randolph
Patrick Mainka
Kevin Müller
Tim Kleindienst
Eren Dinkçi
Jonas Föhrenbach
Jan-Niklas Beste
Omar Traoré
Lennard Maloney
Benedikt Gimber
Jan Schöppner
Marvin Pieringer
Norman Theuerkauf
Adrian Beck
Tim Siersleben
Kevin Sessa
Nikola Dovedan
Marnon Busch
Denis Thomalla
Florian Pick
Stefan Schimmer
Christian Kühlwetter
Thomas Keller
Vitus Eicher
Frank Feller
Luka Janes
Seedy Jarju
Marvin Ducksch
Mitchell Weiser
Romano Schmid
Anthony Jung
Michael Zetterer
Jens Stage
Marco Friedl
Miloš Veljković
Senne Lynen
Felix Agu
Leonardo Bittencourt
Olivier Deman
Nick Woltemade
Niklas Stark
Rafael Borré
Justin Njinmah
Christian Groß
Jiří Pavlenka
Amos Pieper
Julián Malatini
Dawid Kownacki
Naby Keïta
Nicolai Rapp
Oliver Burke
Isak Hansen-Aarøen
Leon Opitz
Ilia Gruev
Joel Imasuen
Spyridon Angelidis
Eduardo Dos Santos Haesler
Jakob Löpping
Cimo Röcker
Bernd Leno
Antonee Robinson
Andreas Pereira
João Palhinha
Timothy Castagne
Calvin Bassey
Alex Iwobi
Willian
Tosin Adarabioyo
Rodrigo Muniz
Raúl Jiménez
Tim Ream
Bobby Reid
Harry Wilson
Issa Diop
Harrison Reed
Tom Cairney
Saša Lukić
Kenny Tete
Carlos Vinícius
Adama Traoré
Luke Harris
Fodé Ballo-Touré
Aleksandar Mitrović
Marek Rodák
Luc De Fougerolles
Matt Dibley-Dias
Tyrese Francois
Joshua King
Kevin Mbabu
Kristian Sekularac
Jay Stansfield
Devan Tanton
Noah Atubolu
Maximilian Eggestein
Vincenzo Grifo
Nicolas Höfler
Lucas Höler
Ritsu Doan
Manuel Gulde
Matthias Ginter
Lukas Kübler
Roland Sallai
Kiliann Sildillia
Michael Gregoritsch
Merlin Röhl
Philipp Lienhart
Christian Günter
Yannik Keitel
Jordy Makengo
Noah Weißhaupt
Maximilian Philipp
Junior Adamu
Florent Muslija
Kenneth Schmidt
Maximilian Breunig
Fabian Rüdlin
Mika Baur
Ryan Johansson
Florian Müller
Max Rosenfelder
Keven Schlotterbeck
Téji Savanier
Benjamin Lecomte
Joris Chotard
Akor Adams
Becir Omeragic
Musa Al-Taamari
Jordan Ferri
Boubakar Kouyaté
Issiaga Sylla
Falaye Sacko
Arnaud Nordin
Christopher Jullien
Wahbi Khazri
Modibo Sagnan
Maxime Estève
Lucas Mincarelli
Enzo Tchato
Khalil Fayad
Tanguy Coulibaly
Dimitry Bertaud
Léo Leroy
Théo Sainte-Luce
Axel Gueguin
Othmane Maamma
Kelvin Yeboah
Sacha Delaye
Yanis Issoufou
Mamadou Sakho
Cheikh Faye
Antonio Sivera
Jon Guridi
Ander Guevara
Andoni Gorosabel
Luis Rioja
Antonio Blanco
Rafa Marín
Abdel Abqar
Javi López
Samuel Omorodion
Rubén Duarte
Kiké
Carlos Vicente
Nahuel Tenaglia
Aleksandar Sedlar
Carlos Benavídez
Ianis Hagi
Abderrahman Rebbach
Giuliano Simeone
Jesús Owono
Xeber
Joaquín Panichelli
Miguel
Mamadou Sylla
Eneko Ortiz
Tomás Mendes
Unai Ropero
Victor Parada
George Gagua
Nikola Maraš
Max Kilman
Nélson Semedo
José Sá
Mario Lemina
João Gomes
Toti Gomes
Matheus Cunha
Rayan Aït-Nouri
Craig Dawson
Hwang Hee-chan
Pablo Sarabia
Pedro Neto
Tommy Doyle
Jean-Ricner Bellegarde
Matt Doherty
Boubacar Traoré
Hugo Bueno
Daniel Bentley
Fábio Silva
Leon Chiwome
Nathan Fraser
Tawanda Chirewa
Jonny Castro
Enso Gonzalez
Ty Barnett
Harvey Griffiths
Owen Hesketh
Joseph Hodge
Fletcher Holman
Justin Hubner
Tom King
Noha Lemina
Temple Ojinnaka
Wesley Okoduwa
Matthew Whittingham
Sergio Herrera
Jesús Areso
Ante Budimir
Catena
David García
Aimar Oroz
Rubén Peña
Moi Gómez
Johan Mojica
Jon Moncayola
Lucas Torró
Iker Muñoz
Rubén García
Juan Cruz Armada
Jorge Herrando
Raúl
Pablo Ibáñez
José Arnaiz
Unai García
Aitor Fernández
Kike Barja
Nacho Vidal
Darko Brašanac
Iñigo Arguibide
Jorge Moreno
Xabier Huarte Armendáriz
Asier Osambela
Max Svensson
Javi Martínez
Matteo Pessina
Andrea Colpani
Michele Di Gregorio
Pablo Marí
Roberto Gagliardini
Dany Mota
Luca Caldirola
Samuele Birindelli
Giorgos Kyriakopoulos
Armando Izzo
Patrick Ciurria
Danilo D'Ambrosio
Andrea Carboni
Warren Bondo
Milan Đurić
Valentin Carboni
Pedro Pereira
Jean-Daniel Akpa-Akpro
Alessandro Sorrentino
Gianluca Caprari
Samuele Vignato
Daniel Maldini
Pepín
Mirko Marić
Papu Gómez
Giulio Donati
Andrea Ferraris
Davide Bettella
Franco Carboni
Stefano Gori
Eugenio Lamanna
Andrea Petagna
Ohis Felix Uduokhai
Ermedin Demirović
Finn Dahmen
Phillip Tietz
Jeffrey Gouweleeuw
Ruben Vargas
Elvis Rexhbeçaj
Mads Pedersen
Iago
Fredrik Jensen
Niklas Dorsch
Arne Engels
Arne Maier
Maximilian Bauer
Tim Breithaupt
Robert Gumny
Sven Michel
Patric Pfeiffer
Dion Drena Beljo
Tomáš Koubek
Mert Kömür
Pep Biel
Irvin Cardona
Masaya Okugawa
Nathanael Mbuku
Mahmut Kücüksahin
David Čolina
David Deger
Daniel Hausmann
Japhet Tanganga
Frederik Winther
Marcel Łubik
Lucas Perrin
Frederic Guilbert
Habib Diarra
Dilane Bakwa
Thomas Delaine
Marvin Senaya
Emanuel Emegha
Abakar Sylla
Matz Sels
Ismaël Doukouré
Ibrahima Sissoko
Junior Mwanga
Alaa Bellaarouch
Kévin Gameiro
Gerzino Nyamsi
Ângelo Borges
Jessy Deminguet
Saidou Sow
Dion Moise Sahi
Lebo Mothiba
Jérémy Sebas
Rabby Nzingoula
Aboubacar Ali
Sanjin Prcić
Eduard Sobol
Mohamed Bechikh
Patrick Ouotro
Steven Baseya
Jean-Eudes Aholou
Matthieu Dreyer
Karol Fila
David Soria
Nemanja Maksimović
Mason Greenwood
Djené
Gastón Álvarez
Borja Mayoral
Luis Milla
Omar Alderete
Jaime Mata
Iglesias
Juanmi Latasa
Carmona
Damián Suárez
Domingos Duarte
Carles Aleñá
Óscar Rodríguez Arnaiz
Stefan Mitrović
Jesús Santiago
Jordi
Mauro Arambarri
Nabil Aberdin
Fabrizio Angileri
Alberto Risco
Anthony Lozano
Santiago García
Daniel Fuzato
Gorka Rivera Alonso
Yassin Tallal
Jeremy Jorge
John Joe
Jordan Pickford
James Tarkowski
Jarrad Branthwaite
James Garner
Dwight McNeil
Abdoulaye Doucouré
Vitaliy Mykolenko
Ashley Young
Dominic Calvert-Lewin
Jack Harrison
Idrissa Gana Gueye
Amadou Onana
Ben Godfrey
Nathan Patterson
Beto
Séamus Coleman
Arnaut Danjuma
Michael Keane
André Gomes
Lewis Dobbin
Youssef Chermiti
Neal Maupay
Thomas Cannon
Tyler Onyango
Lewis Warrington
Elijah Campbell
William Crellin
Mackenzie Hunt
Andy Lonergan
Jenson Metcalfe
João Virgínia
Jonas Wind
Maximilian Arnold
Joakim Mæhle
Maxence Lacroix
Koen Casteels
Ridle Baku
Moritz Jenz
Mattias Svanberg
Cedric Zesiger
Yannick Gerhardt
Sebastiaan Bornauw
Kevin Paredes
Aster Vranckx
Václav Černý
Tiago Tomás
Rogério
Pavao Pervan
Patrick Wimmer
Kevin Behrens
Jakub Kamiński
Kilian Fischer
Nicolas Cozza
Lukas Nmecha
Dženan Pejčinović
Bennit Bröger
Kofi Amoako
Anders Børset
Philipp Schulze
Lucas Ocampos
Youssef En-Nesyri
Sergio Ramos
Loïc Bade
Boubakary Soumaré
Jesús Navas
Ørjan Nyland
Nemanja Gudelj
Kike Salas
Óliver Torres
Djibril Sow
Marcos Acuña
Ivan Rakitić
Adrià Pedrosa
Suso
Isaac Bernal
Marko Dmitrović
Dodi Lukebakio
Juanlu Sánchez
Érik Lamela
Fernando
Joan Jordán
Rafa Mir
Marcão
Tanguy Nianzou
Mariano
Manuel Sebastián
Yassine Bounou
Adnan Januzaj
Diego Iturralde
Jesús Corona
Federico Gattoni
Stanis Idumbo
Gonzalo Montiel
Xavi Sintes
Jørgen Strand Larsen
Óscar Mingueza
Unai Núñez
Iago Aspas
Fran Beltrán
Vicente Guaita
Carl Starfelt
Jonathan Bamba
Luca de la Torre
Manu Sánchez
Carlos Dominguez
Renato Tapia
Iván Villar
Kevin Vázquez
Jailson Siqueira
Mihailo Ristić
Hugo Álvarez
Hugo Sotelo
Anastasios Douvikas
Carles Pérez
Carlos Dotor
Franco Cervi
Williot Swedberg
Joseph Aidoo
Damián Rodríguez
Tadeo Allende
Miguel Rodríguez
Yoel Lago
Javier Rueda Garcia
Gabriel Veiga
Agustín Marchesín
Gonçalo Paciência
Javi Rodríguez
Predrag Rajković
Dani Rodríguez
Martin Valjent
Giovanni González
Samu Costa
Vedat Muriqi
Matija Nastasić
Antonio Raillo
Sergi Darder
Antonio Sánchez
Cyle Larin
Jaume Costa
Omar Mascarell
Pablo Maffeo
Copete
Manu Morlanes
Toni Lato
Abdón Prats
Siebe Van Der Heyden
Amath
Javier Llabrés
Iván Cuéllar
Dominik Greif
Daniel Luna
Rubén Quintanilla
Álvaro Vallés
Kirian Rodríguez
Mika Màrmol
Munir El Haddadi
Sergi Cardona
Javier Muñoz
Álex Suárez
Saúl Coco
Sandro Ramírez
Alberto Moleiro
Enzo Loiodice
Marvin
Julian Araujo
Sory Kaba
Jonathan Viera
Marc Cardona
Francisco Jesús Crespo García
Daley Sinkgraven
Juan Herzog
Álvaro Lemos
Benito Ramírez
José Campaña
Cristian Herrera
Aarón Escandell
Fabio González
Eric Curbelo
Omenuke Mfulu
Iñaki González
Mark Flekken
Vitaly Janelt
Christian Nørgaard
Nathan Collins
Yoane Wissa
Ethan Pinnock
Mathias Jensen
Mads Roerslev
Bryan Mbeumo
Kristoffer Ajer
Ivan Toney
Keane Lewis-Potter
Ben Mee
Mathias Jørgensen
Frank Onyeka
Aaron Hickey
Mikkel Damsgaard
Saman Ghoddos
Yehor Yarmoliuk
Rico Henry
Kevin Schade
Shandon Baptiste
Thomas Strakosha
Michael Olakigbe
Josh Dasilva
Myles Peart-Harris
Ellery Balcombe
Ethan Brierley
Yunus Emre Konak
Charlie Goode
Kim Jisoo
Hákon Rafn Valdimarsson
Ryan Trevitt
Sepp van den Berg
Robin Zentner
Leandro Barreiro Martins
Anthony Caci
Dominik Kohr
Lee Jae-sung
Phillipp Mwene
Brajan Gruda
Jonathan Burkardt
Karim Onisiwo
Ludovic Ajorque
Tom Krauß
Edimilson Fernandes
Silvan Widmer
Andreas Hanche-Olsen
Danny da Costa
Stefan Bell
Marco Richter
Josuha Guilavogui
Maxim Leitsch
Daniel Batz
Matondo-Merveille Papela
Aymen Barkok
Nelson Weiper
Anwar El Ghazi
Marcus Müller
David Mamutovic
Maxim Dal
Tim Müller
Lasse Rieß
Lasse Wilhelm
Julian Weigl
Nico Elvedi
Franck Honorat
Moritz Nicolas
Joe Scally
Luca Netz
Rocco Reitz
Maximilian Wöber
Alassane Pléa
Ko Itakura
Manu Koné
Jordan Pefok
Marvin Friedrich
Florian Neuhaus
Nathan N'Goumou
Robin Hack
Stefan Lainer
Tomáš Čvančara
Jonas Omlin
Christoph Kramer
Fabio Chiarodia
Patrick Herrmann
Grant Ranos
Lukas Ullrich
Shiō Fukuda
Tony Jantschke
Yvandro Borges Sanches
Jan Olschowsky
Tobias Sippel
Simon Walde
Lorenzo Montipò
Michael Folorunsho
Ondrej Duda
Giangiacomo Magnani
Paweł Dawidowicz
Tomáš Suslov
Darko Lazović
Jackson Tchatchoua
Suat Serdar
Diego Coppola
Juan David Cabal
Tijjani Noslin
Martin Hongla
Josh Doig
Federico Bonazzoli
Fabien Centonze
Bruno Amione
Jordi Mboula
Karol Świderski
Daniel Bandeira
Riccardo Saponara
Thomas Henry
Rúben Vinagre
Simone Perilli
Elayis Tavsan
Charlys
Alphadjo Cissè
Yayah Kallon
Alessandro Berardi
Stole Dimitrievski
Florian Lejeune
Isaac Palazón Camacho
Iván Balliu
Óscar Valentín
Alfonso Espino
Unai López
Sergio Camello
Abdul Mumin
Aridane Hernández
Óscar Trejo
Pathé Ciss
Raúl de Tomás
Jorge de Frutos
Pep Chavarría
Kike Pérez
Andrei Ratiu
Crespo
Randy Ntekja
Radamel Falcao
Cárdenas
Bebé
Salvi
José Pozo
Diego Méndez
Morro
Pablo Muñoz
Martín Pascual
Wladimiro Falcone
Federico Baschirotto
Marin Pongračić
Valentin Gendrey
Ylber Ramadani
Antonino Gallo
Nikola Krstović
Pontus Almqvist
Remi Oudin
Patrick Dorgu
Lameck Banda
Hamza Rafia
Alexis Blin
Mohamed Kaba
Joan Gonzàlez
Gabriel Strefezza
Roberto Piccoli
Nicola Sansone
Lorenzo Venuti
Ahmed Touba
Medon Berisha
Santiago Pierotti
Federico Di Francesco
Jeppe Corfitzen
Rareș-Cătălin Burnete
Marcin Listkowski
Federico Brancolini
Kastriot Dermaku
Giacomo Faticanti
Þórir Jóhann Helgason
Mats Lemmens
Youssef Maleh
Daniel Samek
Zinedin Smajlovic
Joel Voelkerling Persson
Walace
Nehuén Pérez
Lorenzo Lucca
Lazar Samardzic
Hassane Kamara
Thomas Kristensen
Jaka Bijol
Roberto Pereyra
Sandi Lovrić
Maduka Okoye
Martín Payero
Festy Ebosele
Florian Thauvin
João Ferreira
Marco Silvestri
Kingsley Ehizibue
Jordan Zemura
Christian Kabasele
Isaac Success
Lautaro Gianetti
Oier Zarraga
Brenner
Keinan Davis
Axel Guessand
Domingos Quina
Vivaldo Semedo
Marley Aké
Enzo Ebosse
Simone Pafundi
Antonio Tikvić
Daniele Padelli
James Abankwah
Etienne Camara
Sekou Diawara
Pedro Chirivella
Alban Lafont
Jean-Charles Castelletto
Florent Mollet
Mostafa Mohamed
Eray Cömert
Douglas
Moussa Sissoko
Moses Simon
Marcus Coco
Nicolas Pallois
Jean-Kevin Duverne
Samuel Moutoussamy
Nathan Zeze
Kelvin Amian
Ronaël Pierre-Gabriel
Rémy Descamps
Bénie Adama Traore
Adson
Ignatius Ganago
Abdoul Kader Bamba
Bastien Meupiyou
Jaouen Hadjam
Stredair Appuah
Denis Petrić
Hugo Boutsingkham
Adel Mahamoud
Enzo Mongo
Lamine Diack
Mohamed Achi
Hugo Barbet
Junior Diaz
Yannis M'Bemba
Frederik Rønnow
Diogo Leite
Robin Gosens
Danilho Doekhi
Robin Knoche
Christopher Trimmel
Lucas Tousart
Rani Khedira
Benedict Hollerbach
Josip Juranović
Brenden Aaronson
Janik Haberer
András Schäfer
Alex Král
Aïssa Laïdouni
Jérôme Roussillon
David Datro Fofana
Yorbe Vertessen
Leonardo Bonucci
Mikkel Kaufmann
Paul Jaeckel
Alexander Schwolow
Chris Bedia
Aljoscha Kemlein
Miloš Pantović
Jakob Busk
Oluwaseun Ogbemudia
Tim Schleinitz
Manuel Riemann
Bernardo
Kevin Stöger
Anthony Losilla
Takuma Asano
Erhan Mašović
Ivan Ordets
Patrick Osterhage
Matúš Bero
Philipp Hofmann
Moritz Broschinski
Maximilian Wittek
Felix Passlack
Cristian Gamboa
Christopher Antwi-Adjei
Tim Oermann
Lukas Daschner
Philipp Förster
Danilo Soares
Noah Loosli
Moritz-Broni Kwarteng
Andreas Luthe
Simon Zoller
Agon Elezi
Michael Esser
Jordi Osei-Tutu
Hugo Rölleke
Moritz Römling
Niclas Thiede
Sebastiano Luperto
Nicolò Cambiaghi
Elia Caprile
Sebastian Walukiewicz
Ardian Ismajli
Alberto Grassi
Bartosz Bereszyński
Emmanuel Gyasi
Răzvan Marin
Liberato Cacace
Matteo Cancellieri
Francesco Caputo
Etrit Berisha
Jacopo Fazzini
Giuseppe Pezzella
Tyronne Ebuehi
Szymon Żurkowski
Alberto Cerri
M'Baye Niang
Filippo Ranocchia
Viktor Kovalenko
Steven Shpendi
Mattia Destro
Nicolas Haas
Samuele Perisan
Giacomo Corona
Emmanuel Ekong
Liam Henderson
Andrea Sodero
Saba Goglichidze
Petar Stojanović
Alberto Dossena
Antoine Makoumbou
Simone Scuffet
Nahitan Nández
Tommaso Augello
Gabriele Zappa
Matteo Prati
Zito Luvumbo
Alessandro Deiola
Ibrahim Sulemana
Gianluca Lapadula
Jakub Jankto
Pantelis Hatzidiakos
Edoardo Goldaniga
Nicolas Viola
Gaetano Oristanio
Mateusz Wieteska
Adam Obert
Eldor Shomurodov
Paulo Azzi
Boris Radunović
Leonardo Pavoletti
Marco Mancosu
Alessandro Di Pardo
Kingstone Mutandwa
Simone Aresti
Elio Capradossi
Jacopo Desogus
Christos Kourfalidis
Gastón Pereiro
Arthur Desmas
Gautier Lloris
Arouna Sangante
Christopher Operi
Abdoulaye Touré
Josué Casimir
Daler Kuzyaev
Etienne Youte Kinkoue
Yassine Kechta
Emmanuel Sabbi
Yoann Salmier
Loïc Nego
Mohamed Lamine Bayo
André Ayew
Oussama Targhalline
Nabil Alioui
Antoine Joujou
Rassoul Ndiaye
Samuel Grandsir
Oualid El Hajjam
Issa Soumaré
Andy Logbo
Steve Ngoura
Mathieu Gorgelin
Nolan Mbemba
Simon Ebonog
Alois Confais
Mokrane Bentoumi
Kandet Diawara
Mohamed Koné
Enzo Barrenechea
Stefano Turati
Simone Romagnoli
Luca Mazzitelli
Marco Brescianini
Walid Cheddira
Pol Lirola
Francesco Gelli
Ilario Monterisi
Anthony Oyono
Emanuele Valeri
Riccardo Marchizza
Reinier
Abdou Harroui
Kaio Jorge
Michele Cerofolini
Marvin Cuni
Jaime Báez
Luca Garritano
Arijon Ibrahimović
Mateus Lusuardi
Mehdi Bourabia
Giuseppe Caso
Farés Ghedjemis
Giorgi Kvernadze
Gennaro Borrelli
Karlo Lulić
Luigi Canotto
Przemysław Szymiński
Pierluigi Frattali
Soufiane Bidaoui
Hamza Haoudi
İsak Vural
Rubén Alcaraz
Jeremías Ledesma
Chris Ramos
Fali
Isaac Carcelen
Javi Hernández
Víctor Chust
Iván Alejo
Gonzalo Escalante
Rubén Sobrino
Roger Martí
Lucas
Álex Fernández
Maxi Gómez
Darwin Machís
Juanmi
Rominigue Kouamé
Joseba Zaldúa
Luis Hernández
Jorge Meré
Aiham Ousou
David Gil
Fede San Emeterio
Mamadou Mbaye
Sergi Guardiola
Brian Ocampo
Álvaro Negredo
Karl Etta
José Mari
Milutin Osmajić
Borja Vázquez
Moussa Diakité
José Antonio
Álvaro Bastida
Alexandre Oukidja
Matthieu Udol
Danley Jean-Jacques
Lamine Camara
Ismaël Traoré
Maxime Colin
Kévin Van Den Kerkhof
Fali Candé
Georges Mikautadze
Kévin N'Doram
Cheikh Tidiane Sabaly
Arthur Atta
Ablie Jallow
Koffi Kouao
Joel Asoro
Papa Amadou Diallo
Sadibou Sané
Simon Elisor
Joseph Nduquidi
Didier Lamkel Zé
Oscar Estupiñan
Abou Lô
Youssef Maziz
Benjamin Tetteh
Malick Mbaye
Habib Maïga
Jean Frederic N'Guessan
Ibou Sané
Guillaume Dietsch
Sofiane Alakouch
Yvon Mvogo
Laurent Abergel
Julien Ponceau
Montassar Talbi
Julien Laporte
Théo Le Bris
Tiemoué Bakayoko
Nathaniel Adjei
Mohamed Bamba
Formose Mendy
Panos Katseris
Ayman Kari
Darlin Yongwa
Eli Junior Kroupi
Gedeon Kalulu
Tosin Aiyegun
Imran Louza
Vincent Le Goff
Benjamin Mendy
Bamba Dieng
Jean-Victor Makengo
Siriné Doucouré
Bonke Innocent
Pablo Pagis
Igor Carioca
Loris Mouyokolo
Aurélien Pelon
Bassirou Ndiaye
Dembo Sylla
Ibrahima Koné
Adrian Grbić
Joel Mvuka
Royce Openda Owaga
Gino Caoki
Arthur Ebong
Alfred Gomis
Dominique Youfeigane
Morgan Gibbs-White
Murillo
Anthony Elanga
Ryan Yates
Callum Hudson-Odoi
Chris Wood
Ola Aina
Neco Williams
Willy Boly
Matt Turner
Moussa Niakhate
Harry Toffolo
Ibrahim Sangaré
Taiwo Awoniyi
Serge Aurier
Andrew Omobamidele
Divock Origi
Nuno Tavares
Odisseas Vlachodimos
Joe Worrall
Scott McKenna
Felipe
Cheikhou Kouyaté
Rodrigo Ribeiro
Brandon Aguilera
Joe Gardner
Wayne Hennessey
Ethan Horvath
Jamie McDonnell
Lewis O'Brien
Detlef Osong
Hwang Ui-jo
Andrea Pinamonti
Andrea Consigli
Armand Lauriente
Martin Erlic
Kristian Thorstvedt
Matheus Henrique
Gian Marco Ferrari
Jeremy Toljan
Daniel Boloca
Domenico Berardi
Marcus Pedersen
Ruan
Nedim Bajrami
Matías Viña
Mattia Viti
Uroš Račić
Grégoire Defrel
Samu Castillejo
Cristian Volpato
Pedro Obiang
Luca Lipani
Marash Kumbulla
Alessio Cragno
Filippo Missori
Samuele Mulattieri
Emil Ceide
Kevin Miranda
Justin Kumi
Agustín Álvarez Martínez
Yeferson Paz
Gianluca Pegolo
Marvin Schwäbe
Julian Chabot
Timo Hübers
Eric Martel
Florian Kainz
Dejan Ljubicic
Linton Maina
Jan Thielmann
Max Finkgräfe
Rasmus Carstensen
Denis Huseinbasic
Davie Selke
Faride Alidou
Luca Waldschmidt
Benno Schmitz
Leart Paqarada
Sargis Adamyan
Steffen Tigges
Luca Kilian
Dominique Heintz
Mark Uth
Jacob Christensen
Justin Diehl
Damion Downs
Mathias Olesen
Florian Dietz
Philipp Pentke
Elias Bakatukanda
Dimitris Limnios
Kristian Pedersen
Andy Pelmard
Mory Diaw
Muhammed Cham
Neto Borges
Johan Gastien
Jim Allevinah
Maximiliano Caufriez
Yohann Magnin
Shamar Nicholson
Maxime Gonalons
Mehdi Zeffane
Elba Rashani
Habib Keita
Cheick Konaté
Grejohn Kyei
Bilal Boutobba
Florent Ogier
Massamba Ndiaye
Yoël Armougom
Jérémie Bela
Komnen Andrić
Ilhan Fakili
Aïman Maurer
Mohamed Bouchenna
Joshua M'Bahia
Abdellah Baallal
Thomas Kaminski
Alfie Doughty
Carlton Morris
Ross Barkley
Teden Mengi
Gabriel Osho
Issa Kaboré
Amari'i Bell
Chiedozie Ogbene
Tahith Chong
Reece Burke
Elijah Adebayo
Albert Sambi Lokonga
Jordan Clark
Andros Townsend
Tom Lockyer
Marvelous Nakamba
Jacob Brown
Pelly Ruddock Mpanzu
Daiki Hashioka
Ryan John Giles
Fred Onyedinma
Mads Juel Andersen
Cauley Woodrow
Luke Berry
Joseph Johnson
James Shea
Zack Nelson
Allan Campbell
Aidan Francis
Taylan Harris
Tim Krul
Jayden Luker
John Mcatee
Dan Potts
Sander Berge
Dara O'Shea
James Trafford
Zeki Amdouni
Vitinho
Charlie Taylor
Wilson Odobert
Josh Brownhill
Josh Cullen
Lyle Foster
Jacob Bruun Larsen
Jordan Beyer
Luca Koleosho
Jóhann Berg Guðmundsson
Ameen Al-Dakhil
Arijanet Muric
Connor Roberts
Jay Rodriguez
Hannes Delcroix
Aaron Ramsey
Hjalmar Ekdal
Mike Trésor
Anass Zaroury
Benson Manuel
Nathan Redmond
Jack Cork
Michael Obafemi
Han-Noah Massengo
CJ Egan-Riley
Lawrence Vigouroux
Luís Maximiano
Édgar González
Adri Embarba
Lucas Robertone
Juan Brandáriz
Dion Lopy
Sergio Arribas
Pubill
Léo Baptistão
César Montes
Largie Ramazani
Iddrisu Baba
Álex Centelles
Gonzalo Melero
Luis Javier Suárez
Alejandro Pozo Pozo
Bruno Langa
Aleksandar Radovanović
Kaiky
Marcos Peña
Houboulang Mendes
Arnau Puigmal
Marko Milovanović
Lázaro
Srđan Babić
Diego Mariño
Paco Sanz
Rachad Fettal
Arvin Appiah
Gui Guedes
Martin Šviderský
Carlos Neva
Ignasi Miquel
Gerard Gumbau
Lucas Boyé
Sergio Ruiz
Myrto Uzuni
Ricard Sánchez
Gonzalo Villar
Miguel Ángel Rubio
Augusto Batalla
Bruno Méndez
Óscar Melendo
André Ferreira
Raúl Torrente
José Callejón
Kamil Jóźwiak
Antonio Puertas
Kamil Piątkowski
Raúl Fernández
Matias Arezo
Marc Martínez
Wilson Manafá
Theo Corbeanu
Víctor Díaz
Sergio Rodelas
Jesús Vallejo
Njegoš Petrović
Famara Diedhiou
Shon Weissman
Brau
Adri Bosch
Pablo Saenz
Alberto Soro
Alberto Perea
Adrián López
Marcel Schuhen
Tim Skarke
Christoph Klarer
Fabian Holland
Matthias Bader
Matej Maglica
Luca Pfeiffer
Marvin Mehlem
Emir Karic
Fabian Nürnberger
Klaus Gjasula
Oscar Vilhelmsson
Tobias Kempe
Bartol Franjić
Christoph Zimmermann
Jannik Müller
Mathias Honsak
Clemens Riedel
Thomas Isherwood
Aaron Seydel
Sebastian Polter
Alexander Brunst
Braydon Manu
Gerrit Holtmann
Andreas Müller
Fabian Schnellhardt
Fraser Hornby
Fabio Torsiello
Filip Stojilković
Frank Ronstadt
Asaf Arania
Morten Behrens
Antonio Candreva
Domagoj Bradarić
Lassana Coulibaly
Lorenzo Pirola
Loum Tchaouna
Guillermo Ochoa
